ID,author,tp,n1,tn,n2,fp,fn,TP,TN,FP,FN,screen_positive,pos,tot,ref_std,prev_std,test
noart,Kemper,9,15,69,88,19,6,9,69,19,6,0.271844660194175,28,103,cult_other,15,cough_2w
noart,Kerkhoff,23,95,344,428,84,72,23,344,84,72,0.204588910133843,107,523,cult_other,18,cough_2w
noart,Kufa,11,16,119,183,64,5,11,119,64,5,0.376884422110553,75,199,cult,8,cough_2w
noart,LaCourse,1,3,125,130,5,2,1,125,5,2,0.0451127819548872,6,133,cult_other,2,cough_2w
noart,Mbu,49,131,630,809,179,82,49,630,179,82,0.242553191489362,228,940,cult_other,14,cough_2w
noart,Modi,32,78,515,621,106,46,32,515,106,46,0.197424892703863,138,699,cult_other,11,cough_2w
noart,Nguyen,4,13,115,154,39,9,4,115,39,9,0.25748502994012,43,167,cult_other,8,cough_2w
noart,Rangaka,24,84,525,570,45,60,24,525,45,60,0.105504587155963,69,654,cult_other,13,cough_2w
noart,Reeve,42,100,583,707,124,58,42,583,124,58,0.205700123915737,166,807,cult_other,12,cough_2w
noart,Shapiro,28,42,280,381,101,14,28,280,101,14,0.304964539007092,129,423,cult_other,10,cough_2w
noart,Swindells,34,56,473,668,195,22,34,473,195,22,0.316298342541436,229,724,cult_other,8,cough_2w
noart,Yoon,131,242,895,1283,388,111,131,895,388,111,0.340327868852459,519,1525,cult_other,16,cough_2w
cd4_less_200,Al Darraji,1,7,25,30,5,6,1,25,5,6,0.162162162162162,6,37,cult_other,19,cough_2w
cd4_less_200,Bjerrum,16,28,144,214,70,12,16,144,70,12,0.355371900826446,86,242,cult_other,12,cough_2w
cd4_less_200,Gersh,0,2,41,42,1,2,0,41,1,2,0.0227272727272727,1,44,cult_other,5,cough_2w
cd4_less_200,Hanifa,31,60,208,271,63,29,31,208,63,29,0.283987915407855,94,331,cult_other,18,cough_2w
cd4_less_200,Hoffmann,4,13,156,166,10,9,4,156,10,9,0.0782122905027933,14,179,cult_other,7,cough_2w
cd4_less_200,Kemper,6,12,40,53,13,6,6,40,13,6,0.292307692307692,19,65,cult_other,18,cough_2w
cd4_less_200,Kerkhoff,19,68,208,264,56,49,19,208,56,49,0.225903614457831,75,332,cult_other,20,cough_2w
cd4_less_200,Kufa,16,20,106,169,63,4,16,106,63,4,0.417989417989418,79,189,cult,11,cough_2w
cd4_less_200,LaCourse,0,0,17,17,0,0,0,17,0,0,0,0,17,cult_other,0,cough_2w
cd4_less_200,Mbu,31,81,176,263,87,50,31,176,87,50,0.343023255813954,118,344,cult_other,24,cough_2w
cd4_less_200,Modi,18,41,105,145,40,23,18,105,40,23,0.311827956989247,58,186,cult_other,22,cough_2w
cd4_less_200,Nguyen,6,12,51,75,24,6,6,51,24,6,0.344827586206897,30,87,cult_other,14,cough_2w
cd4_less_200,Rangaka,23,92,541,581,40,69,23,541,40,69,0.0936106983655275,63,673,cult_other,14,cough_2w
cd4_less_200,Reeve,22,46,120,162,42,24,22,120,42,24,0.307692307692308,64,208,cult_other,22,cough_2w
