author,n1,r1,p1,n2,r2,p2,id
Kerkhoff,522,89,0.170498084291188,523,95,0.181644359464627,all_history_tb
Kufa,415,24,0.0578313253012048,415,24,0.0578313253012048,all_history_tb
LaCourse,274,7,0.0255474452554745,274,8,0.0291970802919708,all_history_tb
Nguyen,397,28,0.0705289672544081,397,28,0.0705289672544081,all_history_tb
Rangaka,1429,126,0.0881735479356193,1429,126,0.0881735479356193,all_history_tb
Reeve,795,93,0.116981132075472,806,100,0.124069478908189,all_history_tb
Shapiro,425,42,0.0988235294117647,425,42,0.0988235294117647,all_history_tb
Swindells,725,56,0.0772413793103448,725,56,0.0772413793103448,all_history_tb
Thit,463,10,0.0215982721382289,463,30,0.0647948164146868,all_history_tb
Yoon,1524,232,0.152230971128609,1524,242,0.158792650918635,all_history_tb
Ahmad,235,8,0.0340425531914894,235,8,0.0340425531914894,history_tb
Al Darraji,36,3,0.0833333333333333,36,3,0.0833333333333333,history_tb
Balcha,51,3,0.0588235294117647,51,4,0.0784313725490196,history_tb
Bjerrum,23,2,0.0869565217391304,23,3,0.130434782608696,history_tb
Gersh,58,2,0.0344827586206897,58,2,0.0344827586206897,history_tb
Hanifa,99,7,0.0707070707070707,99,7,0.0707070707070707,history_tb
Hoffmann,110,1,0.00909090909090909,110,1,0.00909090909090909,history_tb
Kemper,3,0,0,3,0,0,history_tb
Kerkhoff,141,19,0.134751773049645,141,22,0.156028368794326,history_tb
Kufa,109,4,0.036697247706422,109,4,0.036697247706422,history_tb
LaCourse,25,1,0.04,25,1,0.04,history_tb
Nguyen,178,15,0.0842696629213483,178,15,0.0842696629213483,history_tb
Rangaka,552,36,0.0652173913043478,552,36,0.0652173913043478,history_tb
Reeve,114,13,0.114035087719298,115,14,0.121739130434783,history_tb
Shapiro,19,2,0.105263157894737,19,2,0.105263157894737,history_tb
Swindells,53,7,0.132075471698113,53,7,0.132075471698113,history_tb
Thit,94,0,0,94,8,0.0851063829787234,history_tb
Yoon,54,8,0.148148148148148,54,8,0.148148148148148,history_tb
Ahmad,376,49,0.13031914893617,376,49,0.13031914893617,no_history_tb
Al Darraji,89,12,0.134831460674157,89,12,0.134831460674157,no_history_tb
Balcha,746,120,0.160857908847185,749,132,0.176234979973298,no_history_tb
Bjerrum,369,35,0.0948509485094851,369,37,0.100271002710027,no_history_tb
Gersh,326,2,0.00613496932515337,326,5,0.0153374233128834,no_history_tb
Hanifa,252,57,0.226190476190476,252,57,0.226190476190476,no_history_tb
Hoffmann,1291,34,0.0263361735089078,1291,34,0.0263361735089078,no_history_tb
Kemper,99,12,0.121212121212121,100,15,0.15,no_history_tb
Kerkhoff,381,70,0.183727034120735,382,73,0.191099476439791,no_history_tb
Kufa,306,20,0.065359477124183,306,20,0.065359477124183,no_history_tb
LaCourse,249,6,0.0240963855421687,249,7,0.0281124497991968,no_history_tb
Nguyen,219,13,0.0593607305936073,219,13,0.0593607305936073,no_history_tb
Rangaka,877,90,0.102622576966933,877,90,0.102622576966933,no_history_tb
Reeve,681,80,0.117474302496329,691,86,0.124457308248915,no_history_tb
Shapiro,406,40,0.0985221674876847,406,40,0.0985221674876847,no_history_tb
Swindells,672,49,0.0729166666666667,672,49,0.0729166666666667,no_history_tb
Thit,369,10,0.02710027100271,369,22,0.0596205962059621,no_history_tb
